2.200090703	baby
2.467120181	baby.
21.000158730	ah
22.166213152	ah.
46.245668934	fetish
46.881315193	fetish.
64.397641723	limit
64.928798186	limit.
70.794739229	Unh
71.491882086	Unh.
77.267278912	origami
78.136145125	origami.
82.363922902	sympathize
84.425306122	sympathize.
106.858072562	too
108.824399093	too.
