0.523424036	take
0.694625850	it
2.804013605	it.
2.804013605	or
2.943129252	leave
3.138775510	it
4.751383220	it.
4.751383220	won't
4.848934240	leave
5.093877551	it
6.191020408	it.
6.191020408	you
6.391950113	need
6.549297052	it
8.346349206	it.
8.346349206	look
8.505034014	in
8.642925170	the
9.824943311	mirror
10.228934240	mirror.
10.228934240	look
10.457687075	in
10.649206349	the
11.757573696	mirror
12.315283447	mirror.
12.315283447	see
12.469115646	it
13.260000000	clearer
14.027755102	clearer.
14.027755102	be
14.161269841	near
14.770793651	her
17.510748299	her.
17.510748299	surprised
18.938775510	surprised.
18.938775510	sympathize
24.950340136	sympathize.
24.950340136	can't
25.457097506	deny
26.643446712	deny.
26.643446712	your
26.933038549	appetite
30.644535147	appetite.
30.644535147	fetish
31.280181406	for
31.526802721	my
32.464376417	love
35.373900227	love.
35.373900227	come
35.636417234	right
36.873356009	back
38.094988662	back.
38.094988662	see
38.350657596	a
38.542222222	point
38.824081633	in
39.078548753	blaming
41.556077098	you
42.745623583	you.
42.745623583	I'd
42.980158730	do
43.226689342	me
45.399251701	too
46.245668934	too.
46.245668934	fetish
46.881315193	for
47.127936508	my
48.065510204	love
50.744331066	love.
50.744331066	you
50.975034014	come
51.237551020	right
52.474489796	back
54.143356009	back.
54.143356009	point
54.425215420	in
54.679682540	blaming
57.157210884	you
57.309977324	you.
57.309977324	if
57.571201814	I
57.797596372	were
58.090045351	you
61.514648526	you.
61.514648526	got
61.782494331	a
61.855056689	fetish
62.447165533	for
62.725804989	my
63.808072562	love
63.875192744	love.
63.875192744	reaching
64.240907029	your
64.928798186	limit
66.112380952	limit.
66.112380952	your
66.887981859	limit
67.845804989	limit.
67.845804989	over
68.147664399	your
68.877732426	limit
69.578299320	limit.
69.578299320	can't
69.764353741	quit
70.367052154	it
71.578412698	it.
71.578412698	something
72.039909297	about
72.856485261	me
73.984580499	me.
73.984580499	my
75.132766440	body
76.106848073	body.
76.106848073	under
77.111632653	under.
77.111632653	like
78.136145125	origami
79.592040816	origami.
79.592040816	I'm
80.471496599	not
80.935895692	surprised
82.273945578	surprised.
82.273945578	I
82.363922902	sympathize
84.425306122	sympathize.
84.425306122	ah
85.591360544	ah
87.409433107	ah.
87.409433107	I
88.375487528	can't
88.882244898	deny
90.068594104	deny.
90.068594104	your
90.358185941	appetite
94.069682540	appetite.
94.069682540	fetish
94.705328798	for
94.951950113	my
95.889523810	love
98.799047619	love.
98.799047619	come
99.061564626	right
100.298503401	back
101.967369615	back.
101.967369615	point
102.249229025	in
102.503696145	blaming
104.981224490	you
106.170770975	you.
106.170770975	I'd
106.405306122	do
106.651836735	me
108.824399093	too
109.670816327	too.
109.670816327	fetish
110.306462585	for
110.553083900	my
111.490657596	love
113.722698413	love.
113.722698413	out
113.975215420	and
114.169478458	you
114.400181406	come
114.662698413	right
115.899637188	back
117.568503401	back.
117.568503401	point
117.850362812	in
118.104829932	blaming
120.582358277	you
121.771904762	you.
121.771904762	I'd
122.006439909	do
122.252970522	me
124.374625850	too
124.664761905	too.
124.664761905	you
124.939795918	got
125.207641723	a
125.280204082	fetish
125.778888889	fetish. 
125.778888889	/Improv
125.872312925	for
126.150952381	my
126.385351474	love
148.102630385	you
148.114331066	/Improv
148.744217687	/Improv.
148.744217687	fetish
149.379863946	for
149.626485261	my
150.564058957	love
153.242879819	love.
153.242879819	you
153.473582766	come
153.736099773	right
154.973038549	back
156.641904762	back.
156.641904762	point
156.923764172	in
157.178231293	blaming
159.655759637	you
159.808526077	you.
159.808526077	if
160.069750567	I
160.296145125	were
160.588594104	you
160.845306122	I'd
161.079841270	do
161.326371882	me
161.532607710	too
163.978798186	too.
163.978798186	got
164.269886621	a
164.345351474	fetish
164.980997732	for
165.227619048	my
166.165192744	love
168.649750567	love.
168.649750567	and
168.844013605	you
169.074716553	come
169.337233560	right
170.574172336	back
171.531927438	back.
171.531927438	don't
171.795804989	see
172.051473923	a
172.243038549	point
172.524897959	in
172.779365079	blaming
176.446439909	blaming.
176.446439909	I'd
176.680975057	do
176.927505669	me
179.049160998	too
179.339297052	too.
179.339297052	you
179.614331066	got
179.882176871	a
179.954739229	fetish
